"Libellé";"idBank";"Dernière mise à jour";"Période";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12";"2020-01";"2020-02";"2020-03";"2020-04";"2020-05";"2020-06";"2020-07";"2020-08";"2020-09";"2020-10";"2020-11";"2020-12";"2021-01";"2021-02";"2021-03";"2021-04";"2021-05";"2021-06";"2021-07";"2021-08";"2021-09";"2021-10";"2021-11";"2021-12";"2022-01";"2022-02";"2022-03";"2022-04";"2022-05";"2022-06";"2022-07";"2022-08";"2022-09";"2022-10";"2022-11";"2022-12"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées à destination de la France métropolitaine ou des DOM";"010758185";"06/06/2023 15:01";"";"55.8";"46.5";"56.6";"66.4";"77.3";"59.5";"128.3";"217.9";"90.9";"59.5";"48.7";"62.1";"49.1";"51.9";"49.3";"71.6";"57.7";"68.3";"116.2";"210.9";"81.9";"56.7";"44.0";"64.1";"47.7";"54.8";"27.9";"5.1";"22.2";"48.9";"124.5";"221.0";"80.6";"61.6";"15.3";"58.6";"40.9";"41.5";"34.9";"26.5";"64.4";"58.4";"131.6";"210.1";"82.8";"57.4";"49.6";"67.3";"44.6";"55.3";"45.8";"63.2";"68.3";"60.2";"119.5";"194.4";"74.1";"55.5";"44.2";"64.8"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées à destination de l’étranger ou des COM";"010758186";"06/06/2023 15:01";"";"12.6";"12.8";"15.9";"20.7";"26.2";"17.7";"28.7";"53.8";"26.8";"23.5";"13.9";"10.7";"12.7";"12.9";"17.1";"21.2";"23.0";"20.3";"31.1";"55.9";"27.1";"23.2";"15.4";"12.8";"12.1";"14.6";"11.0";"0.8";"0.2";"3.3";"7.1";"16.3";"7.3";"4.6";"1.1";"2.8";"2.1";"1.2";"0.9";"2.2";"2.8";"5.1";"12.1";"28.4";"14.1";"11.1";"9.6";"6.3";"6.1";"7.9";"7.2";"14.4";"18.1";"14.4";"22.6";"42.2";"19.4";"17.1";"12.3";"8.4"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif personnel";"010758178";"06/06/2023 15:01";"";"13.8";"12.6";"13.7";"18.2";"21.1";"16.0";"23.3";"30.6";"17.7";"16.1";"12.9";"17.9";"12.8";"13.7";"14.0";"19.4";"16.8";"19.6";"22.0";"30.7";"17.0";"16.0";"13.6";"18.7";"12.9";"14.7";"7.4";"0.8";"4.5";"12.2";"21.6";"28.8";"14.7";"13.8";"2.8";"13.9";"10.0";"11.1";"8.5";"6.0";"16.6";"14.8";"21.6";"29.3";"16.4";"15.1";"14.0";"18.4";"12.1";"14.1";"12.3";"17.3";"20.0";"16.8";"22.1";"28.8";"15.6";"15.0";"13.6";"18.5"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages pour motif professionnel ou mixte";"010758179";"06/06/2023 15:01";"";"2.6";"2.5";"3.0";"2.7";"2.8";"3.2";"2.0";"1.5";"3.0";"3.1";"3.0";"2.4";"2.6";"2.6";"3.0";"2.5";"2.7";"3.3";"2.2";"1.5";"2.8";"3.3";"3.1";"2.3";"2.2";"2.1";"1.3";"0.4";"0.5";"1.1";"1.2";"1.0";"1.7";"1.7";"1.1";"1.2";"1.2";"1.1";"1.2";"1.3";"1.5";"1.9";"1.3";"0.9";"2.0";"2.5";"2.1";"1.4";"1.3";"1.7";"2.2";"1.8";"2.0";"2.7";"1.6";"0.9";"2.2";"2.6";"2.4";"1.6"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel";"010758187";"06/06/2023 15:01";"";"61.2";"52.2";"64.3";"79.4";"95.8";"68.5";"148.0";"265.2";"108.3";"74.0";"54.7";"67.0";"54.9";"58.2";"58.2";"85.6";"73.7";"80.1";"139.0";"258.0";"99.7";"71.0";"51.5";"70.9";"54.4";"63.2";"35.7";"4.8";"20.9";"48.6";"127.3";"232.8";"82.2";"61.0";"11.9";"57.6";"39.8";"39.8";"32.6";"24.9";"63.0";"58.9";"138.4";"234.7";"91.5";"61.2";"53.9";"70.0";"47.4";"58.3";"47.3";"72.8";"81.6";"67.9";"135.7";"231.8";"87.6";"65.1";"50.7";"69.3"
