"Libellé";"idBank";"Dernière mise à jour";"Période";"2018";"2019";"2020";"2021";"2022"
"Nombre de nuitées pour motif personnel - Hébergements  : autre hébergement payant";"010758247";"06/06/2023 15:00";"";"77.4";"70.7";"49.3";"54.2";"66.9"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif personnel - Hébergements : autre hébergement non payant";"010758248";"06/06/2023 15:00";"";"22.1";"23.5";"16.1";"15.3";"16.8"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif professionnel ou mixte - hébergement marchand";"010758249";"06/06/2023 15:00";"";"66.2";"67.6";"30.9";"35.8";"51.0"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif professionnel ou mixte - hébergement non marchand";"010758250";"06/06/2023 15:00";"";"28.2";"25.9";"17.9";"16.7";"13.5"
"Codes";"";"";"";"A";"A";"A";"A";"A"
"Taux de départ en voyages personnels (%)";"010761990";"06/06/2023 14:41";"";"";"";"";"";"79"
"Codes";"";"";"";"";"";"";"";"A"
