"idBank";"Dernière mise à jour";"Périodicité";"Série arrêtée";"Types d'indicateurs pour le tourisme";"Indicateur";"Mois de retour du voyage";"Nature";"Mode de transport";"Correction";"Destination du voyage";"Type d’hébergement";"Unité";"Puissance";"Zone géographique";"Motif du voyage"
"010758190";"06/06/2023 04:47";"Mensuelle";"non";;"Nuitées";"Sans objet";"Valeur absolue";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Hébergement non marchand";"Nuitées";"6";"France métropolitaine";"Tous motifs confondus"
"010758182";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Mode de transport principal : route (voiture + camping car)";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758183";"06/06/2023 04:47";"Mensuelle";"non";;"Voyages";"Sans objet";"Valeur absolue";"Autres modes de transport principal";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"Voyages";"6";"France métropolitaine";"Tous motifs confondus"
"010758191";"06/06/2023 04:47";"Mensuelle";"non";;"Allers-retours";"Sans objet";"Variations mensuelles";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Tous motifs confondus"
"010761990";"06/06/2023 04:47";"Annuelle";"non";;"Taux de départ en voyages";"Sans objet";"Taux";"Tous modes de transport confondus";"Non corrigé";"Toutes destinations confondues";"Tous types d’hébergement confondus";"%";"0";"France métropolitaine";"Voyage personnel"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
