"idBank";"Dernière mise à jour";"Périodicité";"Puissance";"IDBANK pour sdmx";"Correction";"Activité";"Indicateur";"Unité";"﻿Base de l'indice";"Nature";"Zone géographique"
"010775213";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"55.30 - Terrains de camping et parcs pour caravanes ou véhicules de loisirs";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774633";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"55.90 - Autres hébergements";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774417";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"56.10 - Restaurants et services de restauration mobile";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775109";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"56.21 - Services des traiteurs";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774645";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"56.29 - Autres services de restauration";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774401";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"56.30 - Débits de boissons";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775364";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"58.11 - Édition de livres";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774771";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"58.13 - Édition de journaux";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775080";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"58.14 - Édition de revues et périodiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775156";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"58.19 - Autres activités d'édition";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774705";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"58.21 - Édition de jeux électroniques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774803";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"58.29 - Édition d'autres logiciels";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775186";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"59.11 - Production de films cinématographiques, de vidéo et de programmes de télévision";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775428";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"59.12 - Postproduction de films cinématographiques, de vidéo et de programmes de télévision";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775327";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"59.13 - Distribution de films cinématographiques, de vidéo et de programmes de télévision";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775181";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"59.14 - Projection de films cinématographiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775362";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"59.20 - Enregistrement sonore et édition musicale";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774370";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"60.10 - Édition et diffusion de programmes radio";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774822";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"60.20 - Programmation de télévision et télédiffusion";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774559";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"61.10 - Télécommunications filaires";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774510";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"61.20 - Télécommunications sans fil";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774356";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"61.30 - Télécommunications par satellite";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775076";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"61.90 - Autres activités de télécommunication";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774402";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"62.01 - Programmation informatique";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775101";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"62.02 - Conseil informatique";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775272";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"62.03 - Gestion d'installations informatiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775049";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"62.09 - Autres activités informatiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774890";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"63.11 - Traitement de données, hébergement et activités connexes";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774664";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"63.12 - Portails Internet";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774338";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"63.91 - Activités des agences de presse";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775078";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"63.99 - Autres services d'information n.c.a.";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774810";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"68.10 - Activités des marchands de biens immobiliers";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774694";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"68.20 - Location et exploitation de biens immobiliers propres ou loués";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775016";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"68.31 - Agences immobilières";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774461";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"68.32 - Administration de biens immobiliers";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775014";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"69.10 - Activités juridiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775241";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"69.20 - Activités comptables";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774446";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"70.10 - Activités des sièges sociaux";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774339";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"70.21 - Conseil en relations publiques et communication";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775248";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"70.22 - Conseil pour les affaires et autres conseils de gestion";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775288";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"71.11 - Activités d'architecture";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774443";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"71.12 - Activités d'ingénierie";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774918";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"71.20 - Activités de contrôle et analyses techniques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774756";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"72.11 - Recherche-développement en biotechnologie";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774477";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"72.19 - Recherche-développement en autres sciences physiques et naturelles";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774506";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"72.20 - Recherche-développement en sciences humaines et sociales";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774876";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"73.11 - Activités des agences de publicité";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774995";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"73.12 - Régie publicitaire de médias";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775337";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"73.20 - Études de marché et sondages";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774769";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"74.10 - Activités spécialisées de design";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774658";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"74.20 - Activités photographiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775282";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"74.30 - Traduction et interprétation";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775404";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"74.90 - Autres activités spécialisées, scientifiques et techniques n.c.a.";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775133";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"75.00 - Activités vétérinaires";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775480";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.11 - Location et location-bail de voitures et de véhicules automobiles légers";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774584";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.12 - Location et location-bail de camions";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775253";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.21 - Location et location-bail d'articles de loisirs et de sport";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774546";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.22 - Location de vidéocassettes et disques vidéo";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775219";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.29 - Location et location-bail d'autres biens personnels et domestiques";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775307";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.31 - Location et location-bail de machines et équipements agricoles";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775068";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.32 - Location et location-bail de machines et équipements pour la construction";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774377";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.33 - Location et location-bail de machines de bureau et de matériel informatique";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774864";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.34 - Location et location-bail de matériels de transport par eau";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774551";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.35 - Location et location-bail de matériels de transport aérien";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774553";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.39 - Location et location-bail d'autres machines, équipements et biens matériels n.c.a.";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775442";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"77.40 - Location-bail de propriété intellectuelle et de produits similaires, à l'exception des oeuvres soumises à copyright";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774999";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"78.10 - Activités des agences de placement de main-d'oeuvre";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774806";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"78.20 - Activités des agences de travail temporaire";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775205";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"78.30 - Autre mise à disposition de ressources humaines";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775402";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"79.11 - Activités des agences de voyage";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774660";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"79.12 - Activités des voyagistes";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775301";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"79.90 - Autres services de réservation et activités connexes";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774491";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"80.10 - Activités de sécurité privée";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775358";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"80.20 - Activités liées aux systèmes de sécurité";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775195";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"80.30 - Activités d'enquête";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775313";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"81.10 - Activités combinées de soutien lié aux bâtiments";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775046";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"81.21 - Nettoyage courant des bâtiments";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775474";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"81.22 - Autres activités de nettoyage des bâtiments et nettoyage industriel";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774474";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"81.29 - Autres activités de nettoyage";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775409";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"81.30 - Services d'aménagement paysager";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775270";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.11 - Services administratifs combinés de bureau";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775406";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.19 - Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775089";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.20 - Activités de centres d'appels";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774984";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.30 - Organisation de salons professionnels et congrès";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774922";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.91 - Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010775018";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.92 - Activités de conditionnement";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
"010774408";"29/03/2024 08:45";"Mensuelle";"0";"BDM";"Corrigé des variations saisonnières et du nombre de jours ouvrables";"82.99 - Autres activités de soutien aux entreprises n.c.a.";"Indice de chiffre d'affaires dans les services";"sans objet";"2021";"Indice en valeur";"France"
