"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Haute-Loire - Série arrêtée";"001786451";"29/11/2019 09:22";"";"58";"71";"75";"83";"92";"89";"92";"91";"76";"61";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Loire-Atlantique - Série arrêtée";"001786452";"29/11/2019 09:22";"";"293";"297";"256";"284";"331";"374";"320";"342";"348";"359";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Loiret - Série arrêtée";"001786453";"29/11/2019 09:22";"";"127";"140";"128";"114";"124";"122";"123";"128";"128";"126";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Lot - Série arrêtée";"001786454";"29/11/2019 09:22";"";"304";"326";"292";"257";"262";"253";"244";"253";"231";"211";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Lot-et-Garonne - Série arrêtée";"001786455";"29/11/2019 09:22";"";"99";"109";"97";"127";"108";"105";"99";"122";"121";"102";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Lozère - Série arrêtée";"001786456";"29/11/2019 09:22";"";"146";"135";"148";"143";"141";"128";"142";"125";"125";"144";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Maine-et-Loire - Série arrêtée";"001786457";"29/11/2019 09:22";"";"249";"264";"236";"235";"246";"256";"256";"286";"295";"267";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Manche - Série arrêtée";"001786458";"29/11/2019 09:22";"";"436";"425";"366";"434";"459";"476";"423";"459";"469";"462";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Marne - Série arrêtée";"001786459";"29/11/2019 09:22";"";"79";"85";"83";"71";"69";"79";"72";"74";"84";"67";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Haute-Marne - Série arrêtée";"001786460";"29/11/2019 09:22";"";"145";"142";"152";"134";"132";"129";"128";"146";"151";"140";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Mayenne - Série arrêtée";"001786461";"29/11/2019 09:22";"";"12";"13";"17";"17";"16";"16";"15";"18";"18";"11";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Meurthe-et-Moselle - Série arrêtée";"001786462";"29/11/2019 09:22";"";"57";"35";"62";"65";"67";"65";"58";"71";"60";"75";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Meuse - Série arrêtée";"001786463";"29/11/2019 09:22";"";"48";"34";"46";"35";"43";"34";"35";"36";"38";"44";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Morbihan - Série arrêtée";"001786464";"29/11/2019 09:22";"";"520";"510";"457";"578";"569";"580";"472";"486";"576";"524";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Moselle - Série arrêtée";"001786465";"29/11/2019 09:22";"";"120";"92";"126";"121";"110";"117";"132";"130";"139";"153";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Nièvre - Série arrêtée";"001786466";"29/11/2019 09:22";"";"131";"131";"124";"120";"108";"107";"110";"105";"99";"119";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Nord - Série arrêtée";"001786467";"29/11/2019 09:22";"";"76";"73";"76";"78";"90";"98";"88";"94";"101";"116";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Oise - Série arrêtée";"001786468";"29/11/2019 09:22";"";"22";"40";"31";"31";"39";"41";"49";"33";"45";"49";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Orne - Série arrêtée";"001786469";"29/11/2019 09:22";"";"25";"25";"22";"28";"32";"28";"25";"26";"27";"25";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Pas-de-Calais - Série arrêtée";"001786470";"29/11/2019 09:22";"";"270";"258";"271";"260";"241";"221";"222";"243";"256";"312";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Puy-de-Dôme - Série arrêtée";"001786471";"29/11/2019 09:22";"";"213";"217";"253";"224";"201";"198";"201";"204";"181";"157";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Pyrénées-Atlantiques - Série arrêtée";"001786472";"29/11/2019 09:22";"";"374";"356";"370";"411";"454";"492";"477";"500";"538";"555";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Hautes-Pyrénées - Série arrêtée";"001786473";"29/11/2019 09:22";"";"179";"186";"185";"147";"166";"153";"175";"172";"177";"197";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Pyrénées-Orientales - Série arrêtée";"001786474";"29/11/2019 09:22";"";"1384";"1270";"1355";"1434";"1222";"1424";"1456";"1502";"1505";"1415";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Bas-Rhin - Série arrêtée";"001786475";"29/11/2019 09:22";"";"200";"206";"208";"192";"190";"194";"201";"242";"272";"268";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Haut-Rhin - Série arrêtée";"001786476";"29/11/2019 09:22";"";"353";"361";"346";"361";"323";"361";"351";"397";"413";"470";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Rhône - Série arrêtée";"001786477";"29/11/2019 09:22";"";"80";"86";"85";"80";"83";"86";"97";"88";"82";"91";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Haute-Saône - Série arrêtée";"001786478";"29/11/2019 09:22";"";"55";"41";"55";"46";"39";"43";"42";"55";"50";"57";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Saône-et-Loire - Série arrêtée";"001786479";"29/11/2019 09:22";"";"299";"308";"348";"319";"312";"327";"315";"342";"333";"357";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Sarthe - Série arrêtée";"001786480";"29/11/2019 09:22";"";"99";"89";"84";"102";"97";"101";"97";"102";"107";"103";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Savoie - Série arrêtée";"001786481";"29/11/2019 09:22";"";"217";"226";"242";"241";"197";"203";"205";"226";"242";"297";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Haute-Savoie - Série arrêtée";"001786482";"29/11/2019 09:22";"";"550";"574";"607";"626";"553";"543";"571";"574";"632";"634";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Paris - Série arrêtée";"001786483";"29/11/2019 09:22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"O";"O";"O";"O";"O";"O";"O";"O";"O";"O";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Seine-Maritime - Série arrêtée";"001786484";"29/11/2019 09:22";"";"196";"198";"192";"232";"233";"262";"227";"226";"263";"283";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Seine-et-Marne - Série arrêtée";"001786485";"29/11/2019 09:22";"";"739";"718";"683";"762";"801";"728";"654";"611";"652";"691";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Yvelines - Série arrêtée";"001786486";"29/11/2019 09:22";"";"185";"190";"151";"165";"190";"195";"153";"128";"159";"191";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Deux-Sèvres - Série arrêtée";"001786487";"29/11/2019 09:22";"";"44";"49";"46";"51";"46";"44";"30";"32";"30";"22";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Somme - Série arrêtée";"001786488";"29/11/2019 09:22";"";"282";"239";"278";"261";"259";"240";"238";"265";"310";"323";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Tarn - Série arrêtée";"001786489";"29/11/2019 09:22";"";"70";"76";"77";"74";"61";"65";"79";"65";"59";"66";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Tarn-et-Garonne - Série arrêtée";"001786490";"29/11/2019 09:22";"";"55";"63";"73";"60";"59";"54";"53";"53";"49";"55";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Var - Série arrêtée";"001786491";"29/11/2019 09:22";"";"2583";"2758";"2832";"3194";"3162";"3194";"2941";"2986";"2882";"3148";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Vaucluse - Série arrêtée";"001786492";"29/11/2019 09:22";"";"868";"918";"889";"937";"964";"855";"822";"941";"838";"826";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Vendée - Série arrêtée";"001786493";"29/11/2019 09:22";"";"1522";"1472";"1384";"1473";"1398";"1409";"1257";"1358";"1398";"1401";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Vienne - Série arrêtée";"001786494";"29/11/2019 09:22";"";"83";"89";"82";"97";"84";"90";"94";"99";"88";"73";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Haute-Vienne - Série arrêtée";"001786496";"29/11/2019 09:22";"";"72";"73";"73";"72";"73";"64";"64";"66";"68";"60";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Vosges - Série arrêtée";"001786497";"29/11/2019 09:22";"";"292";"273";"258";"303";"254";"325";"295";"310";"369";"382";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Yonne - Série arrêtée";"001786498";"29/11/2019 09:22";"";"88";"89";"99";"88";"83";"89";"97";"102";"110";"126";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Territoire de Belfort - Série arrêtée";"001786499";"29/11/2019 09:22";"";"13";"13";"11";"13";"10";"13";"13";"14";"15";"18";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Essonne - Série arrêtée";"001786500";"29/11/2019 09:22";"";"79";"77";"87";"102";"95";"62";"64";"69";"77";"79";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Seine-Saint-Denis - Série arrêtée";"001786501";"29/11/2019 09:22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"O";"O";"O";"O";"O";"O";"O";"O";"O";"O";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Val-de-Marne - Série arrêtée";"001786502";"29/11/2019 09:22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"O";"O";"O";"O";"O";"O";"O";"O";"O";"O";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Val-d'Oise - Série arrêtée";"001786495";"29/11/2019 09:22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Codes";"";"";"";"O";"O";"O";"O";"O";"O";"O";"O";"O";"O";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - France métropolitaine - Série arrêtée";"001786407";"29/11/2019 09:22";"";"36550";"36478";"36683";"38639";"37694";"37448";"37098";"38769";"39736";"40155";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Île-de-France - Série arrêtée";"001786378";"29/11/2019 09:22";"";"1222";"1117";"1119";"1215";"1361";"1322";"1075";"1071";"1205";"1223";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Centre-Val de Loire - Série arrêtée";"001786382";"29/11/2019 09:22";"";"954";"954";"867";"886";"894";"876";"813";"863";"880";"904";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Bourgogne-Franche-Comté - Série arrêtée";"001786400";"29/11/2019 09:22";"";"1556";"1505";"1635";"1476";"1385";"1420";"1444";"1584";"1525";"1588";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Normandie - Série arrêtée";"001786401";"29/11/2019 09:22";"";"1453";"1386";"1197";"1396";"1489";"1460";"1288";"1391";"1544";"1683";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Hauts-de-France - Série arrêtée";"001786402";"29/11/2019 09:22";"";"948";"933";"984";"1028";"1004";"961";"942";"981";"1064";"1261";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Grand Est - Série arrêtée";"001786403";"29/11/2019 09:22";"";"1461";"1428";"1489";"1488";"1356";"1465";"1457";"1606";"1795";"1796";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Pays de la Loire - Série arrêtée";"001786389";"29/11/2019 09:22";"";"2174";"2135";"1977";"2111";"2087";"2155";"1945";"2105";"2166";"2141";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Bretagne - Série arrêtée";"001786390";"29/11/2019 09:22";"";"2439";"2233";"2086";"2640";"2708";"2636";"2437";"2484";"2842";"2749";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Nouvelle-Aquitaine - Série arrêtée";"001786404";"29/11/2019 09:22";"";"6122";"6085";"5952";"6426";"6411";"6438";"6576";"6913";"7420";"7487";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Occitanie - Série arrêtée";"001786405";"29/11/2019 09:22";"";"6740";"7008";"7316";"7384";"6732";"6798";"7181";"7491";"7328";"7342";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Auvergne-Rhône-Alpes - Série arrêtée";"001786406";"29/11/2019 09:22";"";"3998";"4273";"4556";"4428";"4217";"4088";"4304";"4484";"4483";"4431";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Provence-Alpes-Côte d'Azur - Série arrêtée";"001786398";"29/11/2019 09:22";"";"5681";"6049";"6118";"6510";"6460";"6253";"6006";"6131";"5770";"6069";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Non-résidents - Corse - Série arrêtée";"001786399";"29/11/2019 09:22";"";"1801";"1373";"1388";"1653";"1591";"1577";"1629";"1666";"1716";"1481";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Ain - Série arrêtée";"001771251";"29/11/2019 09:22";"";"416";"464";"527";"475";"480";"534";"559";"574";"595";"592";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Aisne - Série arrêtée";"001771252";"29/11/2019 09:22";"";"360";"381";"374";"446";"429";"423";"405";"416";"423";"544";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Allier - Série arrêtée";"001771253";"29/11/2019 09:22";"";"282";"264";"253";"264";"269";"283";"312";"313";"303";"313";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Alpes-de-Haute-Provence - Série arrêtée";"001771254";"29/11/2019 09:22";"";"1838";"1879";"1931";"1945";"1923";"1870";"1912";"2004";"1911";"1803";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Hautes-Alpes - Série arrêtée";"001771255";"29/11/2019 09:22";"";"1232";"1219";"1250";"1250";"1169";"1147";"1260";"1246";"1208";"1245";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Alpes-Maritimes - Série arrêtée";"001771256";"29/11/2019 09:22";"";"1062";"1094";"1094";"1048";"1118";"1003";"864";"839";"783";"848";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Ardèche - Série arrêtée";"001771257";"29/11/2019 09:22";"";"3637";"3785";"3874";"3854";"3789";"4019";"4095";"4505";"4443";"4353";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Ardennes - Série arrêtée";"001771258";"29/11/2019 09:22";"";"174";"189";"194";"202";"150";"156";"152";"178";"256";"171";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Ariège - Série arrêtée";"001771259";"29/11/2019 09:22";"";"487";"480";"503";"490";"491";"466";"445";"477";"461";"483";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Aube - Série arrêtée";"001771260";"29/11/2019 09:22";"";"131";"162";"164";"151";"175";"164";"181";"205";"215";"222";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Aude - Série arrêtée";"001771261";"29/11/2019 09:22";"";"1378";"1541";"1528";"1555";"1586";"1493";"1469";"1476";"1565";"1557";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Aveyron - Série arrêtée";"001771262";"29/11/2019 09:22";"";"1192";"1135";"1138";"1223";"1064";"1144";"1167";"1169";"1090";"1080";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Bouches-du-Rhône - Série arrêtée";"001771263";"29/11/2019 09:22";"";"1634";"1919";"1892";"1850";"1842";"1897";"1788";"1774";"1775";"1689";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Calvados - Série arrêtée";"001771264";"29/11/2019 09:22";"";"1454";"1392";"1284";"1329";"1445";"1401";"1339";"1602";"1759";"2163";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Cantal - Série arrêtée";"001771265";"29/11/2019 09:22";"";"358";"339";"332";"348";"351";"372";"353";"329";"315";"337";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Charente - Série arrêtée";"001771266";"29/11/2019 09:22";"";"133";"137";"118";"144";"115";"144";"137";"146";"148";"152";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Charente-Maritime - Série arrêtée";"001771267";"29/11/2019 09:22";"";"6252";"6641";"6532";"6421";"6672";"6981";"6816";"6934";"6968";"7395";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Cher - Série arrêtée";"001771268";"29/11/2019 09:22";"";"115";"124";"114";"126";"118";"122";"112";"120";"117";"117";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Corrèze - Série arrêtée";"001771269";"29/11/2019 09:22";"";"480";"538";"536";"540";"481";"490";"505";"477";"513";"522";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Côte-d'Or - Série arrêtée";"001771273";"29/11/2019 09:22";"";"362";"383";"377";"344";"359";"370";"353";"376";"346";"379";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Côtes-d'Armor - Série arrêtée";"001771274";"29/11/2019 09:22";"";"1762";"1736";"1583";"1792";"1887";"1953";"1830";"1884";"1973";"2057";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Creuse - Série arrêtée";"001771275";"29/11/2019 09:22";"";"125";"134";"126";"128";"131";"132";"139";"137";"146";"136";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Dordogne - Série arrêtée";"001771276";"29/11/2019 09:22";"";"2997";"2999";"3010";"3176";"3148";"3167";"3277";"3392";"3269";"3463";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"A";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Doubs - Série arrêtée";"001771277";"29/11/2019 09:22";"";"311";"309";"329";"313";"301";"321";"326";"355";"361";"344";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Drôme - Série arrêtée";"001771278";"29/11/2019 09:22";"";"1339";"1512";"1606";"1559";"1609";"1602";"1699";"1757";"1688";"1731";"";"";"";""
"Codes";"";"";"";"E";"E";"E";"E";"E";"E";"E";"A";"A";"A";"";"";"";""
"Nuitées dans l'hôtellerie de plein air - Total - Eure - Série arrêtée";"001771279";"29/11/2019 09:22";"";"153";"144";"129";"147";"146";"167";"145";"157";"177";"187";"";"";"";""
