"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nuitées - Non-résidents - Dans l'hôtellerie - Ardèche - Série arrêtée";"001786288";"07/03/2019 12:01";"";"96";"95";"107";"111";"105";"119";"128";"138";"132";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Ardennes - Série arrêtée";"001786289";"07/03/2019 12:01";"";"74";"62";"56";"63";"69";"65";"66";"74";"80";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Ariège - Série arrêtée";"001786290";"07/03/2019 12:01";"";"43";"36";"37";"30";"30";"24";"33";"35";"32";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Aube - Série arrêtée";"001786291";"07/03/2019 12:01";"";"158";"149";"150";"160";"174";"179";"192";"198";"235";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Aude - Série arrêtée";"001786292";"07/03/2019 12:01";"";"298";"302";"313";"335";"309";"306";"321";"334";"352";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Aveyron - Série arrêtée";"001786293";"07/03/2019 12:01";"";"148";"93";"111";"94";"94";"84";"87";"83";"73";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Bouches-du-Rhône - Série arrêtée";"001786294";"07/03/2019 12:01";"";"1356";"1497";"1564";"1715";"1714";"1715";"1601";"1616";"1785";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Calvados - Série arrêtée";"001786295";"07/03/2019 12:01";"";"728";"728";"699";"818";"928";"843";"807";"872";"951";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Cantal - Série arrêtée";"001786296";"07/03/2019 12:01";"";"44";"41";"41";"40";"47";"49";"43";"43";"37";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Charente - Série arrêtée";"001786297";"07/03/2019 12:01";"";"49";"47";"50";"52";"56";"57";"67";"76";"81";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Charente-Maritime - Série arrêtée";"001786298";"07/03/2019 12:01";"";"238";"222";"253";"274";"258";"281";"292";"296";"322";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Cher - Série arrêtée";"001786299";"07/03/2019 12:01";"";"131";"114";"109";"114";"114";"115";"107";"117";"119";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Corrèze - Série arrêtée";"001786300";"07/03/2019 12:01";"";"53";"50";"43";"55";"52";"56";"57";"60";"57";"";"";"";"";""
